frame,id,cx,cy
7,1,471.10622130512877,452.5225798994716
7,9,883.9218657520107,500.4910822604506
7,2,531.5492729162341,191.59883645543272
7,10,927.1570370384534,217.94387451492233
7,7,468.37543136330675,183.86471123666936
7,8,981.2886495278635,149.8999650210482
7,3,802.8790743734756,231.46392036379686
7,6,731.7389838596238,261.6376405579005
7,11,569.5051285706247,467.17197741582373
7,4,652.4142886233134,120.87619159197588
7,5,1220.8207689259639,300.11380714341
8,1,477.47640184185224,454.5070765840311
8,9,892.648157577121,498.4194467397686
8,2,543.4206391451384,191.14292624733594
8,10,936.1190822898902,218.20171208286777
8,7,480.6649394099233,184.26875476381335
8,8,994.481604867841,150.52371644247796
8,3,813.4830044249993,232.52058559721877
8,6,745.0093510778358,262.10663538901986
8,11,575.7563836811224,465.08012582228724
8,4,664.6614405944918,120.44398384951734
8,5,1231.5935868289375,299.05455833777523
9,1,484.8153809470681,452.34219662739935
9,9,900.2847905973344,496.8427468204814
9,14,1141.2334144922713,393.9107499646805
9,2,556.0939364626225,191.10512135226273
9,10,946.9635850866447,218.60188448054333
9,13,247.9964830747055,305.4296330526996
9,7,492.968450862328,184.5691052570409
9,8,1007.7523254638323,152.27734567380884
9,3,824.7130359545312,233.15006863642952
9,6,758.8274443934603,261.6707525373707
9,11,582.0743743479296,462.6855208089481
9,12,536.0922570083658,482.1513440071577
9,4,676.6609253876175,119.70585221611127
9,5,1239.6737438460357,298.3066163494054
10,1,493.48010195880073,449.09280150769024
10,9,907.1555752600666,492.68269544413835
10,14,1147.825356385291,393.07521858622397
10,2,568.622187881898,191.1283478631591
10,10,957.3207345373957,218.86700847401607
10,13,258.3616079280659,305.11626958043826
10,7,505.47522963146235,184.33431916372638
10,8,1020.816625063068,153.66097610083858
10,3,835.4223798319548,233.70472586268747
10,6,772.7453611191282,261.5239548859313
10,11,588.5762899324515,459.4385414250592
10,12,537.7985448778422,481.68151809309416
10,4,689.1470066889522,119.89277980309994
10,5,1248.5966193063896,299.59818400282114
11,1,500.6364674427495,447.6946893264936
11,9,912.1683718037618,488.73346879849487
11,14,1153.384848254773,391.5415797303644
11,2,581.4610647101402,191.62957244912369
11,10,967.9850091895744,219.02910496803088
11,13,268.29732097621024,304.70621842594875
11,7,517.8730943860695,185.2807880148782
11,8,1033.0385129106687,154.96938673379452
11,3,846.3844238029255,233.76572450545402
11,6,786.4544096134325,261.38276326777344
11,11,594.4624087957169,457.19500418730235
11,12,533.4914062723211,474.45113961278105
11,4,701.7367315085826,120.0657187446169
11,5,1258.8234363375689,300.08518296590194
12,1,507.7928329266983,446.2965771452969
12,9,916.5852758567845,486.7842090699683
12,14,1157.4845422283383,390.0126820203283
12,2,594.2698352365957,192.00892288575488
12,10,979.0807656609777,218.89334985462582
12,13,276.78131261242913,304.6784038133364
12,7,529.722026133117,185.72546872659836
12,8,1045.5791645291185,155.96370965919996
12,3,857.4928583095324,233.93307818293343
12,6,799.5247295035866,261.25993207178226
12,11,598.7406008011797,455.48190177692464
12,12,531.7010175009387,469.7539803968288
12,4,714.1527806942028,120.65691627258411
12,5,1266.8621737497258,300.848500149489
13,1,514.949198410647,444.89846496410024
13,9,922.0106305981087,486.28791953756235
13,14,1160.536083052359,390.32243808331435
13,2,607.4713133893418,192.49942743393825
13,10,990.6860375276548,218.9940012535173
13,13,285.3460532025559,304.92267369951185
13,7,543.3894725495921,186.67125057476304
13,8,1058.5112850183605,156.30956082737345
13,3,868.4489490501152,233.53096994810303
13,6,812.3387294459213,260.272520810973
13,11,604.5272108725114,452.81332383514075
13,12,533.1779927587547,466.20731019411875
13,4,726.6468199177832,121.0842053432522
13,15,880.0899469309572,108.68138613036426
13,5,1275.9973824387394,301.2282060438142
14,1,530.7535642112912,452.4182173976449
14,9,928.2386933338441,486.3313104535641
14,14,1163.992664283797,392.6321172885184
14,2,620.0379873651569,192.83094251475447
14,10,1001.7328208863084,219.2727684326309
14,13,291.5611326909326,305.3482273654454
14,7,555.2318197605945,187.5165364911722
